⺮	ju<
〇	lig<
〡	i/
〢	er>
〣	san/
〤	s>
〥	u\
〦	liu>
〧	ki/
〨	ba/
〩	ciu\
〸	x<
㐄	kua>
㐅	u\
㐆	in\
㐌	ta/
㐖	hie<
㐖毒	hie duh
㐜	txeu<
㐡	nue>
㐤	kiu<
㐫	hyg/
㐰	hin>
㐺	jug>
㑊	i>
㑳	jeu>
㑺	cyn>
㒳	liag\
㒸	sui>
㒺	uag\
㓂	keu>
㔾	cie<
㕁	kye>
㕑	txu<
㕘	tsan/
㕥	i\
㕥	xn/
㕯	neh>
㕻	puu\
㗂	xg\
㘓	lan<
㘓哰	lan lau
㘚	han\
㘭	au>
㘵	bu>
㙍	due/
㙦	hie<
㚷	er\
㚻	ci/
㚻姦	ci cian
㛂	nue\
㛃	cie<
㝄	txun<
㝇	txun<
㝛	su>
㝠	mig<
㝡	zui>
㝵	ai>
㝵	de<
㞎	ba\
㞎㞎	ba ba
㞗	kiu<
㞙	niau>
㞞	sug<
㟁	an>
㟃	s/
㠀	dau\
㠇	ziu>
㠯	i\
㠶	fan/
㡌	mau>
㢘	lian<
㢠	cyg\
㢲	hyn>
㢴	hi/
㣟	hih>
㤅	ai>
㤙	en/
㥁	deh<
㥏	tian\
㥦	kieh>
㥮	jeu>
㥯	in\
㦂	txag<
㧯	lau\
㧱	na<
㨃	dui\
㨗	cie<
㨪	huag\
㨿	cy>
㩐	dn>
㩗	hie<
㩜	lam\
㩦	hie<
㩳	sug\
㪃	he<
㪋	han>
㪚	san>
㪟	dun/
㫰	lag>
㫺	hi/
㬉	nuan\
㬎	hian\
㮎	bei/
㮚	lih>
㮣	cai>
㮸	sug>
㯭	lu\
㯳	kig<
㱃	im\
㱾	cai/
㲈	tau<
㲈	xau<
㲋	txueh>
㲱	lieh>
㲾	y\
㳂	ian<
㳄	sian<
㳇	fu>
㳒	fa\
㳘	txug/
㳮	niau>
㴱	xn/
㵎	cian>
㵐	cyeh<
㵐水	cyeh xui
㵪	hian<
㵮	txun<
㶸	hie<
㷖	jau>
㷭	fg/
㷸	ie>
㸌	hue>
㹠	tun<
㹢	cia/
㹴	cg/
㹴犬	cg kyan
㺢	hue>
㺢㹢狓	hue cia pi
㺵	ciu\
㻬	tu<
㻽	hyan<
㼝	uan\
㽞	liu<
㽮	hig/
㿜	bie\
㿝	hiag/
㿠	huag>
䂖	x<
䂲	fa\
䂶	cie<
䃉	min<
䃎	ja>
䅵	jueh<
䇲	tse>
䈰	xau/
䊀	hu<
䍃	iau<
